movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Cake,"The acerbic, hilarious Claire Simmons becomes fascinated by the suicide of a woman in her chronic pain support group.","Cake finds Jennifer Aniston making the most of an overdue opportunity to test her dramatic chops, but it lacks sufficient depth or warmth to recommend for all but her most ardent fans.",R,Drama,Daniel Barnz,Patrick Tobin,"Jennifer Aniston, Anna Kendrick, Adriana Barraza, Sam Worthington, Chris Messina, Mamie Gummer, Felicity Huffman, William H. Macy, Britt Robertson, Lucy Punch",2015-01-23,2015-04-21,98.0,Cinelou Films,Rotten,48,126,44.0,15326.0
Firefox,"Producer/director/star Clint Eastwood takes his sweet time getting Firefox started. Eastwood plays Mitchell Gant, a past-his-prime U.S. pilot, smuggled into the Soviet Union to steal a new Russian supersonic fighting plane. Fortunately the KGB men are as burnt out as Gant, enabling him to abscond with the plane with the greatest of ease. The rest of the film is a protracted chase, pitting Gant against scores of impersonal MIG pilots. Based on a novel by Craig Thomas. ~ Hal Erickson, Rovi",,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",Clint Eastwood,"Alex Lasker, Wendell Wellman","Clint Eastwood, Freddie Jones, Warren Clarke, Ronald Lacey, Kenneth Colley, Klaus Lowitsch, Nigel Hawthorne, Thomas Hill, Clive Merrison, Kai Wulff, Dimitra Arliss, Austin Willis, Michael Currie, Marion Dougherty, James Staley, Ward Costello, Alan Tilvern, Oliver Cotton, Mary Selway, Bernard Behrens, Richard Derr, Woody Eney, Bernard Erhard, Hugh Fraser, Stefan Schnabel, David Gant, John Grillo, Czeslaw Grocholski, Barrie Houghton (II), Neil Hunt, Vincent J. Isaac, Alexei Jawdokimov, Wolf Kahler, Eugene Lipinski, Phillip Littell, Curt Lowens, Lev Mailer, Fritz Manes, David Meyer, Alfredo Michelson, Zenno Nahayevsky, George Orrison, Tony Papenfuss, Pierre Olivier Bardet, Grisha Plotkin, George Pravda, John Ratzenberger, Alex Rodine, Lance Rosen, Gene Scherer, Warwick Sims, Mike Spero, Malcolm Storry, Chris Winfield, John Yates, Alexander Zale, Igor Zatsepin, Konstantin Zlatev, David Huffman, Maurice Jarre",1982-06-01,2002-10-01,136.0,Warner Bros. Pictures,Rotten,38,13,41.0,16017.0
Sing,A koala impresario stages a grand singing competition for the world's animals in order to save his elegant theater in this quirky animated musical.,"Sing delivers colorfully animated, cheerfully undemanding entertainment with a solid voice cast and a warm-hearted -- albeit familiar -- storyline that lives up to its title.",PG,"Animation, Comedy, Musical & Performing Arts","Garth Jennings, Christophe Lourdelet",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly, Jennifer Saunders, Jennifer Hudson, Peter Serafinowicz, Garth Jennings, Nick Kroll, Beck Bennett, Nick Offerman, Jay Pharoah, Leslie Jones, Rhea Perlman, Laraine Newman, Adam Buxton, Brad Morris, Bill Farmer, Leo Jennings, Oscar Jennings, Caspar Jennings, Asa Jennings",2016-12-21,2017-03-21,108.0,Illumination Entertainment,Fresh,72,180,72.0,39305.0
Citizenfour,"In January 2013, Poitras (recipient of the 2012 MacArthur Genius Fellowship and co-recipient of the 2014 Pulitzer Prize for Public Service) was several years into making a film about surveillance in the post-9/11 era when she started receiving encrypted e-mails from someone identifying himself as ""citizen four,"" who was ready to blow the whistle on the massive covert surveillance programs run by the NSA and other intelligence agencies. In June 2013, she and Greenwald flew to Hong Kong for the first of many meetings with the man who turned out to be Snowden. She brought her camera with her. The film that resulted from this series of tense encounters is absolutely sui generis in the history of cinema: a 100% real-life thriller unfolding minute by minute before our eyes. Executive Produced by Steven Soderbergh. (C) Radius","Part real-life thriller, part sobering examination of 21st century civil liberties, Citizenfour transcends ideology to offer riveting, must-see cinema.",R,Documentary,Laura Poitras,,"Glenn Greenwald, Bill Binney, Jacob Appelbaum, Ewen Macaskill, Jeremy Scahill, Judge M. Margaret McKeown, Kevin Bankston, Judge Harry Pregerson, H. Thomas Byron, Judge Michael Daly Hawkins, Jonathan Tall Man, Robert Tibbo, Juan Jose Martinez Casado, Roberto Kaz, Julian Borger, Paul Johnson, Nick Hopkins, Julian Assange, Marcel Bosonnet, Wolfgang Kaleck, Ben Wizner, William Bourdon",2014-10-21,2015-08-25,114.0,Radius-TWC,Certified Fresh,96,145,87.0,20215.0
Live Die Repeat: Edge of Tomorrow,"The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the Earth in an unrelenting assault, unbeatable by any military unit in the world. Major William Cage (Tom Cruise) is an officer who has never seen a day of combat when he is unceremoniously dropped into what amounts to a suicide mission. Killed within minutes, Cage now finds himself inexplicably thrown into a time loop-forcing him to live out the same brutal combat over and over, fighting and dying again...and again. But with each battle, Cage becomes able to engage the adversaries with increasing skill, alongside Special Forces warrior Rita Vrataski (Emily Blunt). And, as Cage and Rita take the fight to the aliens, each repeated encounter gets them one step closer to defeating the enemy.(C) Warner Bros","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.",PG-13,"Drama, Science Fiction & Fantasy",Doug Liman,"Dante Harper, Joby Harold, Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth","Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley, Masayoshi Haneda, Noah Taylor, Lara Pulver, Madeleine Mantock, Terence Maynard, Assly Zandry, Sebastian Blunt, Beth Goddard, Ronan Summers, Aaron Romano, Usman Akram, Bentley Kalu, Mairead McKinley, Andrew Neil, Martin Hyder, Tommy Campbell, Brendan Gleeson, John Dutton, Rachel Handshaw, Martin McDougall, Anna Botting, Jane Hill, Erin Burnett, Dany Cushmaro, David Kaye",2014-06-06,2014-10-07,113.0,Warner Bros. Pictures,Certified Fresh,90,313,90.0,147200.0
Songs My Brothers Taught Me,"The setting is the often starkly beautiful Badlands of South Dakota's Pine Ridge Indian Reservation; most of the key players are young Lakota Native Americans who attend Little Wound High School. Johnny and his preteen sister, Jashaun, spend time on horseback when they're not selling illegal liquor or tattoo-designed apparel. Director Chloé Zhao captures the subtleties of a marginalized existence in which the historic culture of a people can't compete on a level playing field with the modern problems of poverty, alcoholism, and violence. Amazingly, she embroiders her tale with moments of breathtaking natural beauty that offset the despair her characters struggle against. SONGS is an auspicious debut feature from a director whose superb eye is informed by the sophisticated and nuanced compassion she brings to her story. (Synopsis courtesy of Film Forum.)",,NR,Drama,Chloé Zhao,Chloé Zhao,"John Reddy, Jashaun St. John, Irene Bedard, Taysha Fuller, Eleonore Hendricks, Cat Clifford, Travis Lone Hill, Dakota Brown, Jorge Dullknife, Shamauri Hawkins, Kevin Hunter, Lauren Janis, Gabby Montileaux, Dorothy Nelson, Allen Reddy, Keanna Rowland",2016-03-02,2016-08-02,98.0,Highwayman Films,Fresh,91,22,64.0,441.0
They Came Together,"When Joel (Paul Rudd) and Molly (Amy Poehler) meet, it's hate at first sight: his big Corporate Candy Company threatens to shut down her quirky indie candy shop. Plus, Joel is hung up on his sexy ex (Cobie Smulders). But amazingly, they fall in love, until they break up about two thirds of the way through, and Molly starts dating her accountant (Ed Helms). But then right at the end...well you'll just have to see. (Hint: Joel makes a big speech and they get back together.) From the director of Wet Hot American Summer, Wanderlust and Role Models comes a hilarious and irreverent subversion of the romantic comedy genre. (c) Lionsgate","They Came Together is surprisingly messy and perhaps too smart for its own good, but Amy Poehler and Paul Rudd's chemistry is enough to overcome many of the movie's flaws.",R,Comedy,David Wain,"Michael Showalter, David Wain","Paul Rudd, Amy Poehler, Ed Helms, Cobie Smulders, Max Greenfield, Christopher Meloni, Bill Hader, Ellie Kemper, Jason Mantzoukas, Melanie Lynskey, Michael Ian Black, Michael Murphy, Kenan Thompson, Jack McBrayer, Ken Marino, Teyonah Parris, Zandy Hartig, Noureen DeWulf, Michaela Watkins, Randall Park, Erinn Hayes, David Wain, John Rue, Skylar Gaertner, Zak Orth, Norah Jones, Adam Scott, John Stamos, Maureen Mueller, Alberto Vazquez, Lynn Cohen, Jeffrey Dean Morgan, Gameela Wright, Judge Judy Sheindlin",2014-06-27,2014-09-02,83.0,Lionsgate,Fresh,68,91,39.0,10396.0
La Double Vie de Véronique (The Double Life of Veronique),"In this off-beat fantasy, the life of a beautiful French woman is mirrored by that of a Polish woman. The two were born on the same day in their respective countries. They look exactly alike and their lives follow an eerily similar course. Though they never meet, each is dimly aware of the other and of the effect they have upon each other's lives.",,R,"Art House & International, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Irène Jacob, Philippe Volter, Sandrine Dumas, Halina Gryglaszewska, Aleksander Bardini, Jerzy Gudejko, Jan Sterninski, Claude Duneton, Louis Ducreux, Lorraine Evanoff, Guillaume De Tonquédec, Gilles Gaston-Dreyfus, Alain Frerot, Thierry de Carbonnieres, Chantal Neuwirth, Nausicaa Rampony, Boguslawa Schubert, Jacques Potin, Philippe Campos, Dominika Szady, Jacek Wojcicki, Wanda Kruszewska, Bernadetta Kus, Youssef Hamid, Kalina Jedrusik",1991-05-15,2006-11-21,96.0,Criterion Collection,Fresh,82,28,92.0,20120.0
The Brink,"When Steve Bannon left his position as White House chief strategist less than a week after the Charlottesville ""Unite the Right"" rally in August 2017, he was already a notorious figure in Trump's inner circle, and for bringing a far-right ideology into the highest echelons of American politics. Unconstrained by an official post -- though some say he still has a direct line to the White House -- he became free to peddle influence as a perceived kingmaker, turning his controversial brand of nationalism into a global movement. THE BRINK follows Bannon through the 2018 mid-term elections in the United States, shedding light on his efforts to mobilize and unify far-right parties in order to win seats in the May 2019 European Parliamentary elections. To maintain his power and influence, the former Goldman Sachs banker and media investor reinvents himself -- as he has many times before -- this time as the self-appointed leader of a global populist movement. Keen manipulator of the press and gifted self-promoter, Bannon continues to draw headlines and protests wherever he goes, feeding the powerful myth on which his survival relies.","The Brink won't change many minds about its subject, but it remains a compelling -- if perhaps difficult to watch -- look at a divisive ideological lightning rod.",NR,Documentary,Alison Klayman,,Stephen K. Bannon,2019-03-29,2019-06-04,90.0,Magnolia Pictures,Certified Fresh,84,95,56.0,34.0
Natural City,"The cyborgs created to serve mankind have revolted, and now the military man sent on a mission to save mankind find himself torn between his duty and his love for the cyborg that serves him in the sophomore feature from Korean filmmaker Byung-chun Min. The year is 2080, and after a devastating war nearly wipes out the human race, artificial intelligence is used to create a race of powerful cyborgs. Designed to experience human emotions and created to serve only one master from the day they are born to the day their die, the cyborgs faithfully carry out their duties until a rising rebellion finds humanity's children taking their fate into their own hands. When military squad leaders R (Yoo Ji-tae) and Noma (Yoon Chan) are assigned the task of quelling the rebellion before the violence spirals out of control, R has trouble carrying out his duties as a result of his deep-rooted feelings for his own cyborg Ria (Seo Rin).",,R,"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",Min Byeong-cheon,Min Byeong-cheon,"Yoo Ji-tae, Jae Eun Lee, Seo Rin, Jeong Du-hong, Gu Shin, Ju-sang Yun, Kang Seon-pil",2004-06-04,2006-04-04,113.0,Tartan Films,Fresh,67,6,46.0,3420.0
